rendez-vous      	RENDEZ-VOUS SUR LA VOIE 9 3/4
mois             	Le dernier mois que Harry passa chez les Dursley n’eut rien de très amusant.
réprimander      	Ils ne l’enfermaient plus dans son placard, ne le forçaient plus à faire quoi que ce soit, ne le réprimandaient même plus.
déprimer         	D’une certaine manière, c’était mieux qu’avant, mais un peu déprimant malgré tout.
baptiser         	Harry restait donc dans sa chambre en compagnie de sa chouette qu’il avait baptisée Hedwige, un nom trouvé dans son Histoire de la magie.
soirée           	Il passait ses journées et ses soirées à dévorer ses manuels scolaires tandis qu’Hedwige allait se promener, sortant et rentrant par la fenêtre ouverte.
dévorer          	Il passait ses journées et ses soirées à dévorer ses manuels scolaires tandis qu’Hedwige allait se promener, sortant et rentrant par la fenêtre ouverte.
ménage           	Fort heureusement, la tante Pétunia ne venait plus faire le ménage car Hedwige ne cessait de ramener des cadavres de souris.
cadavre          	Fort heureusement, la tante Pétunia ne venait plus faire le ménage car Hedwige ne cessait de ramener des cadavres de souris.
barrer           	Tous les soirs avant de se coucher, Harry barrait un jour sur le calendrier de fortune qu’il avait fait lui-même sur un morceau de papier accroché au mur.
calendrier       	Tous les soirs avant de se coucher, Harry barrait un jour sur le calendrier de fortune qu’il avait fait lui-même sur un morceau de papier accroché au mur.
accrocher        	Tous les soirs avant de se coucher, Harry barrait un jour sur le calendrier de fortune qu’il avait fait lui-même sur un morceau de papier accroché au mur.
toussoter        	Dans le salon, les Dursley regardaient un jeu télévisé et il toussota pour signaler sa présence.
oncle            	– Heu… Oncle Vernon ?
grognement       	Grognement.
tapis            	Les tapis volants sont en panne ?
conscience       	– Je ne sais pas, dit Harry en prenant conscience pour la première fois de son ignorance à ce sujet.
ignorance        	– Je ne sais pas, dit Harry en prenant conscience pour la première fois de son ignorance à ce sujet.
décréter         	– Ils sont tous fous ! décréta l’oncle Vernon.
hôpital          	Non, j’emmène Dudley à l’hôpital.
enlever          	Il faut lui faire enlever cette maudite queue en tire-bouchon avant qu’il entre au collège.
jean             	Le lendemain, Harry se réveilla dès cinq heures du matin et s’habilla d’un jean.
exciter          	Il était trop excité pour se rendormir.
rendormir        	Il était trop excité pour se rendormir.
charger          	Deux heures plus tard, l’oncle Vernon chargea son énorme valise pleine de livres et de fournitures scolaires dans le coffre de la voiture et ils prirent la direction de Londres après que la tante Pétunia eut convaincu Dudley qu’il n’y avait aucun danger à s’asseoir à côté de Harry.
valise           	Deux heures plus tard, l’oncle Vernon chargea son énorme valise pleine de livres et de fournitures scolaires dans le coffre de la voiture et ils prirent la direction de Londres après que la tante Pétunia eut convaincu Dudley qu’il n’y avait aucun danger à s’asseoir à côté de Harry.
chariot          	L’oncle Vernon mit la grosse valise sur un chariot qu’il poussa lui-même, et accompagna Harry jusqu’à l’entrée des voies.
gentil           	C’était étrangement gentil de sa part, jusqu’au moment où il s’arrêta face aux quais avec un sourire méchant.
méchant          	C’était étrangement gentil de sa part, jusqu’au moment où il s’arrêta face aux quais avec un sourire méchant.
tien             	J’imagine que la tienne doit se trouver quelque part entre les deux, mais j’ai bien peur qu’elle ne soit pas encore construite.
construire       	J’imagine que la tienne doit se trouver quelque part entre les deux, mais j’ai bien peur qu’elle ne soit pas encore construite.
voyageur         	La chouette enfermée dans sa cage intriguait les autres voyageurs et il sentait des regards se tourner vers lui.
destination      	Il demanda à un employé où se trouvait le train à destination de Poudlard, mais l’homme n’avait jamais entendu ce nom.
situer           	Harry étant incapable de lui dire dans quelle région l’endroit était situé, l’employé s’énerva, croyant qu’il se moquait de lui.
céder            	Harry s’efforça de ne pas céder à la panique.
horloge          	La grosse horloge, au-dessus du tableau des arrivées, lui indiqua qu’il lui restait dix minutes avant le départ du train mais il ne savait absolument pas comment faire pour y monter.
tableau          	La grosse horloge, au-dessus du tableau des arrivées, lui indiqua qu’il lui restait dix minutes avant le départ du train mais il ne savait absolument pas comment faire pour y monter.
arrivée          	La grosse horloge, au-dessus du tableau des arrivées, lui indiqua qu’il lui restait dix minutes avant le départ du train mais il ne savait absolument pas comment faire pour y monter.
soulever         	Il était seul au milieu de la gare, avec une valise qu’il pouvait à peine soulever, la poche pleine d’argent qui n’avait cours que chez les sorciers et une grande cage avec une chouette à l’intérieur.
composteur       	Il se demandait s’il convenait de sortir sa baguette magique pour en tapoter le composteur situé entre les deux quais lorsqu’il entendit un groupe de voyageurs parler derrière lui.
roux             	Une petite femme replète parlait à quatre garçons aux cheveux roux flamboyants.
flamboyant       	Une petite femme replète parlait à quatre garçons aux cheveux roux flamboyants.
battre           	Le cœur battant, Harry alla se placer derrière eux avec son propre chariot et décida de les suivre.
fillette         	– 9 3/4, dit une fillette également rousse qui tenait la main de la petite femme replète.
aîné             	Celui qui semblait être l’aîné des quatre garçons se dirigea vers les voies 9 et 10.
touriste         	Harry l’observa attentivement, évitant même de cligner des yeux, mais un groupe de touristes important arriva et lui boucha la vue.
franchement      	Franchement, tu crois que c’est digne d’une mère de confondre ses enfants ?
digne            	Franchement, tu crois que c’est digne d’une mère de confondre ses enfants ?
frère            	Il s’avança à son tour vers les voies tandis que son frère jumeau lui disait de se dépêcher.
dadais           	Ron aussi est nouveau, dit la femme en montrant son plus jeune fils, un grand dadais avec de grands pieds, de grandes mains et des taches de rousseur.
tache            	Ron aussi est nouveau, dit la femme en montrant son plus jeune fils, un grand dadais avec de grands pieds, de grandes mains et des taches de rousseur.
rousseur         	Ron aussi est nouveau, dit la femme en montrant son plus jeune fils, un grand dadais avec de grands pieds, de grandes mains et des taches de rousseur.
barrière         	Il suffit de marcher droit vers la barrière qui est devant toi, entre les deux tourniquets.
tourniquet       	Il suffit de marcher droit vers la barrière qui est devant toi, entre les deux tourniquets.
trac             	Si tu as le trac, il vaut mieux marcher très vite.
solide           	Elle paraissait très solide.
bousculer        	Il s’avança alors en poussant son chariot et marcha de plus en plus vite, bousculé par les voyageurs qui se hâtaient vers les voies 9 et 10.
rapprocher       	La barrière se rapprochait dangereusement.
dangereusement   	La barrière se rapprochait dangereusement.
freiner          	Trop tard pour freiner, à présent.
cinquante        	Il n’était plus qu’à cinquante centimètres.
obstacle         	Il continua de courir sans rencontrer aucun obstacle et lorsqu’il rouvrit les yeux, il vit une locomotive rouge vif le long du quai où se pressait une foule compacte.
rouvrir          	Il continua de courir sans rencontrer aucun obstacle et lorsqu’il rouvrit les yeux, il vit une locomotive rouge vif le long du quai où se pressait une foule compacte.
locomotive       	Il continua de courir sans rencontrer aucun obstacle et lorsqu’il rouvrit les yeux, il vit une locomotive rouge vif le long du quai où se pressait une foule compacte.
vif              	Il continua de courir sans rencontrer aucun obstacle et lorsqu’il rouvrit les yeux, il vit une locomotive rouge vif le long du quai où se pressait une foule compacte.
presser          	Il continua de courir sans rencontrer aucun obstacle et lorsqu’il rouvrit les yeux, il vit une locomotive rouge vif le long du quai où se pressait une foule compacte.
compact          	Il continua de courir sans rencontrer aucun obstacle et lorsqu’il rouvrit les yeux, il vit une locomotive rouge vif le long du quai où se pressait une foule compacte.
express          	Express
arche            	En regardant derrière lui, Harry vit une grande arche de fer forgé à la place de la barrière et des tourniquets.
fer              	En regardant derrière lui, Harry vit une grande arche de fer forgé à la place de la barrière et des tourniquets.
çà               	De la fumée s’échappait de la locomotive et se répandait au-dessus de la foule, des chats de toutes les couleurs se glissaient çà et là entre les jambes des passagers et la rumeur des conversations était ponctuée par le bruit des valises traînées sur le quai et des ululements que les hiboux échangeaient d’un air grognon.
ponctuer         	De la fumée s’échappait de la locomotive et se répandait au-dessus de la foule, des chats de toutes les couleurs se glissaient çà et là entre les jambes des passagers et la rumeur des conversations était ponctuée par le bruit des valises traînées sur le quai et des ululements que les hiboux échangeaient d’un air grognon.
grognon          	De la fumée s’échappait de la locomotive et se répandait au-dessus de la foule, des chats de toutes les couleurs se glissaient çà et là entre les jambes des passagers et la rumeur des conversations était ponctuée par le bruit des valises traînées sur le quai et des ululements que les hiboux échangeaient d’un air grognon.
wagon            	Les premiers wagons étaient déjà pleins d’élèves.
bavarder         	Certains, penchés aux fenêtres, bavardaient avec leurs parents pendant que d’autres se battaient pour une place assise.
recherche        	Harry poussa son chariot le long du quai, à la recherche d’une place libre.
libre            	Harry poussa son chariot le long du quai, à la recherche d’une place libre.
joufflu          	Il passa devant un garçon au visage joufflu qui disait : – Grand-mère, j’ai encore perdu mon crapaud.
dame             	– Neville ! soupira la vieille dame.
surgir           	Le garçon souleva le couvercle de la boîte qu’il tenait dans les mains et tout le monde se mit à hurler en voyant surgir une longue patte velue.
velu             	Le garçon souleva le couvercle de la boîte qu’il tenait dans les mains et tout le monde se mit à hurler en voyant surgir une longue patte velue.
compartiment     	Harry se fraya un chemin parmi la foule jusqu’au dernier wagon où il trouva enfin un compartiment vide.
hisser           	Il posa d’abord la cage d’Hedwige à l’intérieur du wagon, puis il essaya de hisser sa valise sur le marchepied mais il la fit tomber deux fois sur son pied.
marchepied       	Il posa d’abord la cage d’Hedwige à l’intérieur du wagon, puis il essaya de hisser sa valise sur le marchepied mais il la fit tomber deux fois sur son pied.
hé               	Hé, Fred, viens nous donner un coup de main.
mèche            	– Merci, dit Harry en relevant d’un doigt une mèche de cheveux trempés de sueur.
sueur            	– Merci, dit Harry en relevant d’un doigt une mèche de cheveux trempés de sueur.
chœur            	– Harry Potter, dirent en chœur les deux frères.
redescendre      	Après avoir jeté un dernier coup d’œil à Harry, les jumeaux se hâtèrent de redescendre sur le quai.
demi             	À demi caché, il pouvait observer et entendre la famille aux cheveux roux sans être vu.
dérober          	Le plus jeune des quatre frères essaya de se dérober mais sa mère l’attrapa par le bras et se mit à lui frotter le bout du nez.
attraper         	Le plus jeune des quatre frères essaya de se dérober mais sa mère l’attrapa par le bras et se mit à lui frotter le bout du nez.
démarche         	L’aîné des garçons apparut, la démarche décidée.
insigne          	Il avait déjà revêtu la grande robe noire de Poudlard et Harry remarqua, épinglé sur sa poitrine, un petit insigne brillant rouge et or qui portait la lettre P.
maman            	– Je ne peux pas rester très longtemps, Maman, dit-il.
préfet           	Je dois aller à l’avant du train, les préfets ont un compartiment réservé.
attendre         	– Attends, je crois bien qu’il nous en a soufflé un mot, une fois, dit l’autre jumeau.
été              	– Et même pendant tout l’été, à bien y réfléchir…
ému              	– Parce qu’il est préfet, répondit leur mère d’une voix émue.
deviner          	Hé, M’man, devine qui on vient de voir dans le train ?
blottir          	Harry se blottit un peu plus dans son coin pour être sûr qu’ils ne le voient pas.
brun             	– Le petit brun qui était à côté de nous, à la gare ?
flûté            	Harry entendit la voix flûtée de la petite fille.
poli             	Il était tellement poli quand il m’a demandé où se trouvait le quai.
tu               	Tu crois qu’il se souvient de la tête qu’avait Tu-Sais-Qui ?
sifflet          	Un sifflet retentit.
dépêcher         	– Dépêchez-vous, dit la mère.
indigner         	– George ! s’indigna sa mère.
border           	Les maisons qui bordaient la voie défilaient devant la fenêtre du compartiment.
défiler          	Les maisons qui bordaient la voie défilaient devant la fenêtre du compartiment.
excitation       	Harry éprouvait un sentiment d’excitation : il ne savait pas ce qui l’attendait, mais c’était certainement mieux que ce qu’il laissait derrière lui.
indifférent      	Il jeta un coup d’œil à Harry puis se tourna du côté de la fenêtre d’un air indifférent.
tarentule        	Lee Jordan a une tarentule géante, on va aller voir ça.
blague           	– Je m’étais dit que c’était peut-être une blague de Fred ou George.
avidement        	demanda avidement Ron.
éblouissant      	– Je me souviens d’une lumière verte éblouissante, c’est tout.
comptable        	Il paraît que M’man a un cousin qui est comptable, mais on ne parle jamais de lui à la maison.
abominable       	En tout cas, ma tante, mon oncle et mon cousin sont abominables.
cinq             	– Cinq, rectifia Ron.
rectifier        	– Cinq, rectifia Ron.
assombrir        	Son visage s’était soudain assombri.
sixième          	– Je suis le sixième à aller à Poudlard, dans la famille.
intérêt          	J’ai intérêt à être à la hauteur.
capitaine        	Bill était Préfet en chef et Charlie capitaine de l’équipe de Quidditch.
maintenir        	– C’est un élève chargé de maintenir la discipline, répondit Ron.
discipline       	– C’est un élève chargé de maintenir la discipline, répondit Ron.
pion             	Une sorte de pion…
confesser        	– Je ne suis pas beaucoup sorti de chez moi, confessa Harry.
moyen            	Mon père a offert un hibou à Percy quand il a été nommé préfet, mais il n’avait pas les moyens de…
hériter          	Enfin, je veux dire, c’est moi qui ai hérité de Croûtard.
