202. Река
река                          river
источник, родник              spring
русло                         riverbed
бассейн (реки)                basin
впадать в … (о реке)          to flow into …
приток                        tributary
берег                         bank
течение                       current, stream
вниз по течению               downstream
вверх по течению              upstream
наводнение                    flood
половодье                     flooding
разливаться                   to overflow (vi)
затоплять                     to floodvt)
мель                          shallows
порог                         rapids
плотина                       dam
канал                         canal
водохранилище                 artificial lake
шлюз                          sluice, lock
водоём                        water body
болото                        swamp, bog
трясина                       marsh
водоворот                     whirlpool
ручей                         stream
питьевая                      drinking(adj)
пресная (о воде)              fresh(adj)
лёд                           ice
замёрзнуть (о реке)           to ice over
