specchio        	specchio        	LO SPECCHIO DELLE EMARB Natale si stava avvicinando.
dicembre        	dicembre        	Un mattino di metà dicembre, il castello di Hogwarts si svegliò sotto una pesante coltre di neve.
coltre          	coltre          	Un mattino di metà dicembre, il castello di Hogwarts si svegliò sotto una pesante coltre di neve.
ghiaccio        	ghiaccio        	Il lago era diventato una spessa lastra di ghiaccio e i gemelli Weasley erano stati puniti per aver fatto un incantesimo alle palle di neve, che si erano messe a inseguire Quirrell dovunque andasse, rimbalzando sul retro del suo turbante.
dovunque        	dovunque        	Il lago era diventato una spessa lastra di ghiaccio e i gemelli Weasley erano stati puniti per aver fatto un incantesimo alle palle di neve, che si erano messe a inseguire Quirrell dovunque andasse, rimbalzando sul retro del suo turbante.
temporalesco    	temporalesco    	I pochi gufi che riuscivano a fendere il cielo temporalesco per consegnare la posta dovevano poi essere accuditi da Hagrid prima di poter riprendere il volo.
accuditi        	accudire        	I pochi gufi che riuscivano a fendere il cielo temporalesco per consegnare la posta dovevano poi essere accuditi da Hagrid prima di poter riprendere il volo.
ardevano        	ardere          	Mentre nella sala comune di Grifondoro e nella Sala Grande ardevano fuochi scoppiettanti, i corridoi pieni di spifferi erano gelidi e un vento sferzante faceva sbattere le imposte nelle aule.
scoppiettanti   	scoppiettante   	Mentre nella sala comune di Grifondoro e nella Sala Grande ardevano fuochi scoppiettanti, i corridoi pieni di spifferi erano gelidi e un vento sferzante faceva sbattere le imposte nelle aule.
spifferi        	spiffero        	Mentre nella sala comune di Grifondoro e nella Sala Grande ardevano fuochi scoppiettanti, i corridoi pieni di spifferi erano gelidi e un vento sferzante faceva sbattere le imposte nelle aule.
sferzante       	sferzante       	Mentre nella sala comune di Grifondoro e nella Sala Grande ardevano fuochi scoppiettanti, i corridoi pieni di spifferi erano gelidi e un vento sferzante faceva sbattere le imposte nelle aule.
imposte         	imposta         	Mentre nella sala comune di Grifondoro e nella Sala Grande ardevano fuochi scoppiettanti, i corridoi pieni di spifferi erano gelidi e un vento sferzante faceva sbattere le imposte nelle aule.
condensava      	condensarsi     	Il peggio erano le lezioni del professor Piton, che si tenevano nei sotterranei, dove il respiro si condensava in nuvolette e tutti cercavano di starsene il più vicino possibile ai calderoni bollenti.
nuvolette       	nuvola          	Il peggio erano le lezioni del professor Piton, che si tenevano nei sotterranei, dove il respiro si condensava in nuvolette e tutti cercavano di starsene il più vicino possibile ai calderoni bollenti.
dosando         	dosare          	Harry, che stava dosando della polvere di spine di pesce scorpione, li ignorò.
spine           	spina           	Harry, che stava dosando della polvere di spine di pesce scorpione, li ignorò.
pesce           	pesce           	Harry, che stava dosando della polvere di spine di pesce scorpione, li ignorò.
scorpione       	scorpione       	Harry, che stava dosando della polvere di spine di pesce scorpione, li ignorò.
antipatico      	antipatico      	Dalla partita di Quidditch, Malfoy era diventato, se possibile, ancora più antipatico.
sconfitta       	sconfitta       	Deluso per la sconfitta di Serpeverde, aveva cercato di suscitare l’ilarità di tutti con una battuta, e cioè che la volta successiva Harry sarebbe stato sostituito come Cercatore da una rana dalla bocca larga.
suscitare       	suscitare       	Deluso per la sconfitta di Serpeverde, aveva cercato di suscitare l’ilarità di tutti con una battuta, e cioè che la volta successiva Harry sarebbe stato sostituito come Cercatore da una rana dalla bocca larga.
ilarità         	ilarità         	Deluso per la sconfitta di Serpeverde, aveva cercato di suscitare l’ilarità di tutti con una battuta, e cioè che la volta successiva Harry sarebbe stato sostituito come Cercatore da una rana dalla bocca larga.
sostituito      	sostituire      	Deluso per la sconfitta di Serpeverde, aveva cercato di suscitare l’ilarità di tutti con una battuta, e cioè che la volta successiva Harry sarebbe stato sostituito come Cercatore da una rana dalla bocca larga.
nonostante      	nonostante      	Ma poi si era reso conto che non faceva ridere nessuno, perché tutti erano rimasti ammirati dal modo in cui Harry era riuscito a rimanere in sella alla sua scopa nonostante quella cercasse di disarcionarlo.
gonfio          	gonfio          	Per cui, Malfoy, invidioso e gonfio di rabbia, era tornato a prenderlo in giro per il fatto che non aveva una vera e propria famiglia.
abete           	abete           	Quando lasciarono i sotterranei alla fine della lezione di Pozioni, i ragazzi trovarono un grosso abete che bloccava il corridoio.
toglierti       	togliersi       	«Ti spiacerebbe toglierti di mezzo?» fece dietro di loro la voce strascicata e glaciale di Malfoy.
spicciolo       	spicciolo       	«Che cosa c’è, stai cercando di guadagnare qualche spicciolo, Weasley?
reggia          	reggia          	Forse speri di diventare anche tu guardacaccia quando finirai la scuola... la capanna di Hagrid deve sembrarti una reggia, in confronto a dove abita la tua famiglia».
flautata        	flautato        	«Quale che sia la ragione, Hagrid, fare a pugni è contro le regole di Hogwarts» disse Piton con voce flautata.
levatevi        	levarsi         	Ora levatevi di torno, tutti quanti!» Malfoy, Crabbe e Goyle passarono accanto all’abete e lo urtarono malamente, spargendone gli aghi dappertutto con un sorriso compiaciuto.
malamente       	malamente       	Ora levatevi di torno, tutti quanti!» Malfoy, Crabbe e Goyle passarono accanto all’abete e lo urtarono malamente, spargendone gli aghi dappertutto con un sorriso compiaciuto.
spargendone     	spargere        	Ora levatevi di torno, tutti quanti!» Malfoy, Crabbe e Goyle passarono accanto all’abete e lo urtarono malamente, spargendone gli aghi dappertutto con un sorriso compiaciuto.
digrignando     	digrignare      	«Gliela faccio vedere io» disse Ron digrignando i denti contro Malfoy che ormai gli dava le spalle.
meraviglia      	meraviglia      	È una meraviglia!»
indaffarati     	indaffarato     	Così, Harry, Ron e Hermione seguirono Hagrid e il suo albero fino alla Sala Grande, dove la professoressa McGonagall e il professor Flitwick erano tutti indaffarati a sistemare le decorazioni natalizie.
natalizie       	natalizio       	Così, Harry, Ron e Hermione seguirono Hagrid e il suo albero fino alla Sala Grande, dove la professoressa McGonagall e il professor Flitwick erano tutti indaffarati a sistemare le decorazioni natalizie.
spettacolo      	spettacolo      	» La sala era davvero uno spettacolo.
ghirlande       	ghirlanda       	Dalle pareti pendevano ghirlande d’agrifoglio e vischio, e tutto intorno erano disposti non meno di dodici giganteschi alberi di Natale, alcuni decorati di ghiaccioli scintillanti, altri illuminati da centinaia di candeline.
vischio         	vischio         	Dalle pareti pendevano ghirlande d’agrifoglio e vischio, e tutto intorno erano disposti non meno di dodici giganteschi alberi di Natale, alcuni decorati di ghiaccioli scintillanti, altri illuminati da centinaia di candeline.
decorati        	decorare        	Dalle pareti pendevano ghirlande d’agrifoglio e vischio, e tutto intorno erano disposti non meno di dodici giganteschi alberi di Natale, alcuni decorati di ghiaccioli scintillanti, altri illuminati da centinaia di candeline.
depositarsi     	depositarsi     	«Ah, già, è vero» disse Ron distogliendo lo sguardo dal professor Flitwick, dalla cui bacchetta uscivano bolle dorate che andavano a depositarsi sui rami del nuovo albero.
soggiunse       	soggiungere     	«A meno che non voglia dircelo tu, così ci risparmi la fatica» soggiunse Harry.
cucite          	cucito          	«Ho le labbra cucite» disse Hagrid categorico.
categorico      	categorico      	«Ho le labbra cucite» disse Hagrid categorico.
contrariata     	contrariato     	Lasciarono Hagrid con la sua aria contrariata e si avviarono di corsa verso la biblioteca.
esponenti       	esponente       	Non compariva in Grandi maghi del Ventesimo secolo, e neanche in Esponenti di rilievo della Magia del nostro tempo;
rilievo         	rilievo         	Non compariva in Grandi maghi del Ventesimo secolo, e neanche in Esponenti di rilievo della Magia del nostro tempo;
recenti         	recente         	non era citato in Scoperte importanti della Magia moderna, né in Rassegna dei recenti sviluppi della Magia.
sviluppi        	sviluppo        	non era citato in Scoperte importanti della Magia moderna, né in Rassegna dei recenti sviluppi della Magia.
titoli          	titolo          	Hermione tirò fuori un elenco di argomenti e di titoli che aveva deciso di cercare mentre Ron si avviava lungo un corridoio e cominciava a estrarre libri a caso dagli scaffali.
reparto         	reparto         	Harry si aggirava invece nel Reparto Proibito.
occorreva       	occorrere       	Purtroppo, per prendere uno qualsiasi dei libri proibiti occorreva un’apposita autorizzazione firmata da un professore e lui sapeva benissimo che non sarebbe mai riuscito a procurarsela.
apposita        	apposito        	Purtroppo, per prendere uno qualsiasi dei libri proibiti occorreva un’apposita autorizzazione firmata da un professore e lui sapeva benissimo che non sarebbe mai riuscito a procurarsela.
autorizzazione  	autorizzazione  	Purtroppo, per prendere uno qualsiasi dei libri proibiti occorreva un’apposita autorizzazione firmata da un professore e lui sapeva benissimo che non sarebbe mai riuscito a procurarsela.
firmata         	firmare         	Purtroppo, per prendere uno qualsiasi dei libri proibiti occorreva un’apposita autorizzazione firmata da un professore e lui sapeva benissimo che non sarebbe mai riuscito a procurarsela.
perfezionavano  	perfezionare    	Quelli erano i libri che contenevano i potenti segreti della Magia Oscura che non veniva mai insegnata a Hogwarts, ed erano letti soltanto dagli allievi più anziani che si perfezionavano in Difesa contro le Arti Oscure.
bibliotecaria   	bibliotecario   	Madame Pince, la bibliotecaria, brandiva contro di lui un piumino per la polvere.
piumino         	piumino         	Madame Pince, la bibliotecaria, brandiva contro di lui un piumino per la polvere.
nutriva         	nutrire         	Harry aspettò fuori nel corridoio per vedere se i due amici avessero trovato qualcosa, ma non nutriva molte speranze.
dentisti        	dentista        	«Questo è poco ma sicuro, visto che fanno i dentisti tutti e due!» rispose Hermione.
accaparrarsi    	accaparrare     	Avevano il dormitorio tutto per loro e la sala comune era molto meno affollata del solito, per cui potevano accaparrarsi le poltrone migliori, quelle vicino al camino.
forchettone     	forchettone     	Stavano lì seduti per ore e ore di fila, mangiando qualsiasi cosa si potesse infilzare su un forchettone e arrostire alla fiamma – pane, focaccine, marshmallow – e architettando stratagemmi per far espellere Malfoy:
arrostire       	arrostire       	Stavano lì seduti per ore e ore di fila, mangiando qualsiasi cosa si potesse infilzare su un forchettone e arrostire alla fiamma – pane, focaccine, marshmallow – e architettando stratagemmi per far espellere Malfoy:
focaccine       	focaccia        	Stavano lì seduti per ore e ore di fila, mangiando qualsiasi cosa si potesse infilzare su un forchettone e arrostire alla fiamma – pane, focaccine, marshmallow – e architettando stratagemmi per far espellere Malfoy:
stratagemmi     	stratagemma     	Stavano lì seduti per ore e ore di fila, mangiando qualsiasi cosa si potesse infilzare su un forchettone e arrostire alla fiamma – pane, focaccine, marshmallow – e architettando stratagemmi per far espellere Malfoy:
difficilmente   	difficilmente   	tutte cose di cui era molto divertente parlare, anche se difficilmente avrebbero funzionato.
scacchi         	scacco          	Ron cominciò anche a insegnare a Harry a giocare a scacchi magici.
comandare       	comandare       	Le regole erano esattamente come quelle degli scacchi babbani, tranne che i pezzi erano vivi, per cui diventava un po’ come comandare delle truppe in battaglia.
truppe          	truppa          	Le regole erano esattamente come quelle degli scacchi babbani, tranne che i pezzi erano vivi, per cui diventava un po’ come comandare delle truppe in battaglia.
scacchiera      	scacchiera      	La scacchiera di Ron era molto vecchia e malconcia.
membro          	membro          	Come tutto quello che possedeva, anch’essa un tempo era stata di qualche membro della sua famiglia, in quel caso suo nonno.
fiducia         	fiducia         	Invece Harry giocava con gli scacchi che gli aveva prestato Seamus Finnigan e i pezzi non avevano la minima fiducia in lui.
contraddittori  	contraddittorio 	Ancora non era un bravo giocatore e loro non facevano che gridare consigli contraddittori che finivano per confonderlo:
pregustando     	pregustare      	lui possiamo permetterci di perderlo!» La vigilia di Natale, Harry andò a letto pregustando le leccornie e i divertimenti dell’indomani, senza aspettarsi nessun regalo.
leccornie       	leccornia       	lui possiamo permetterci di perderlo!» La vigilia di Natale, Harry andò a letto pregustando le leccornie e i divertimenti dell’indomani, senza aspettarsi nessun regalo.
divertimenti    	divertimento    	lui possiamo permetterci di perderlo!» La vigilia di Natale, Harry andò a letto pregustando le leccornie e i divertimenti dell’indomani, senza aspettarsi nessun regalo.
rape            	rapa            	«E che cosa ti aspettavi, un mazzo di rape?» disse Ron voltandosi a guardare i suoi regali, che erano molto più numerosi di quelli di Harry.
scarabocchiato  	scarabocchiare  	Era avvolto in una spessa carta da pacchi, con su scarabocchiato:
flauto          	flauto          	Dentro c’era un flauto di legno rozzamente intagliato.
rozzamente      	rozzamente      	Dentro c’era un flauto di legno rozzamente intagliato.
intagliato      	intagliare      	Dentro c’era un flauto di legno rozzamente intagliato.
messaggio       	messaggio       	Abbiamo ricevuto il tuo messaggio e accludiamo il regalo di Natale per te.
accludiamo      	accludere       	Abbiamo ricevuto il tuo messaggio e accludiamo il regalo di Natale per te.
affascinato     	affascinare     	Ron era affascinato dalla moneta.
