muscolo           	muscolo           	Non un solo muscolo gli si mosse sul volto.
tagliente         	tagliente         	«Ma io pensavo... Piton...» «Chi, Severus?» Quirrell rise, e non fu la sua solita risatina tremula, bensì una risata fredda e tagliente.
sospetterebbe     	sospettare        	Con lui in giro, chi sospetterebbe mai del p-p-povero, ba-balbuziente p-professor Qu-Quirrell?
balbuziente       	balbuziente       	Con lui in giro, chi sospetterebbe mai del p-p-povero, ba-balbuziente p-professor Qu-Quirrell?
involontariamente 	involontariamente 	La tua amica Granger mi ha urtato involontariamente quando è corsa ad appiccare fuoco a Piton, durante la partita a Quidditch.
impopolare        	impopolare        	Tutti gli altri insegnanti pensavano che Piton stesse cercando di ostacolare la vittoria di Grifondoro, lui si è reso veramente impopolare... e che gran perdita di tempo, visto che, nonostante tutto, stanotte ho intenzione di ucciderti».
perdita           	perdita           	Tutti gli altri insegnanti pensavano che Piton stesse cercando di ostacolare la vittoria di Grifondoro, lui si è reso veramente impopolare... e che gran perdita di tempo, visto che, nonostante tutto, stanotte ho intenzione di ucciderti».
ficcanaso         	ficcanaso         	«Sei troppo ficcanaso per continuare a vivere, Potter.
sincerarmi        	sincerarsi        	Pensavo che mi avessi visto mentre andavo a sincerarmi di che cosa ci fosse a guardia della Pietra».
stanarlo          	stanare           	Ma purtroppo, mentre tutti correvano dappertutto cercando di stanarlo, Piton, che già sospettava di me, è venuto dritto filato al terzo piano per intercettarmi e non solo il mio troll non ti ha fatto a pezzi, ma neanche il cane a tre teste è riuscito a staccare la gamba a morsi a Piton come si deve.
indolente         	indolente         	«Già» rispose Quirrell indolente, girando attorno allo Specchio per osservarlo da dietro.
epoca             	epoca             	«All’epoca, mi stava addosso, cercava di scoprire a che punto fossi arrivato.
avidamente        	avidamente        	E ha cercato di spaventarmi... come se fosse possibile, con Lord Voldemort dalla mia parte!» Quirrell ritornò davanti allo Specchio e ci guardò dentro avidamente.
legato            	legato            	» Harry cercò di divincolarsi dalle funi che lo tenevano legato, ma quelle non cedettero.
dedicasse         	dedicare          	Doveva impedire a tutti i costi che Quirrell dedicasse tutta l’attenzione allo Specchio.
istruzioni        	istruzione        	«A volte» disse, «trovo difficile seguire le istruzioni del mio padrone... lui è un mago grande e potente, mentre io sono debole...» «Intende dire che era insieme a lei in quell’aula?» disse Harry col fiato mozzo.
pacato            	pacato            	«Lui è con me ovunque io vada» disse Quirrell in tono pacato.
coloro            	coloro            	Esistono soltanto il potere e coloro che sono troppo deboli per ricercarlo... Da allora l’ho sempre servito fedelmente, benché lo abbia deluso molte volte.
ricercarlo        	ricercare         	Esistono soltanto il potere e coloro che sono troppo deboli per ricercarlo... Da allora l’ho sempre servito fedelmente, benché lo abbia deluso molte volte.
fedelmente        	fedelmente        	Esistono soltanto il potere e coloro che sono troppo deboli per ricercarlo... Da allora l’ho sempre servito fedelmente, benché lo abbia deluso molte volte.
deluso            	deludere          	Esistono soltanto il potere e coloro che sono troppo deboli per ricercarlo... Da allora l’ho sempre servito fedelmente, benché lo abbia deluso molte volte.
atto              	atto              	Perciò se mi guardo nello Specchio, dovrei vedermi nell’atto di trovarla... il che significa che dovrei vedere dove è nascosta!
specchiarmi       	specchiarsi       	Ma come faccio a specchiarmi senza che Quirrell capisca le mie intenzioni?
compiva           	compiere          	Ammiccò e si rimise la Pietra in tasca... Nell’attimo stesso in cui l’immagine compiva quel gesto, Harry sentì qualcosa di pesante scivolargli davvero in tasca.
fuggire           	fuggire           	Avrebbe osato provare a fuggire?
svolgersi         	svolgersi         	Pietrificato, guardò Quirrell che gli si avvicinava e incominciava a svolgersi il turbante.
copricapo         	copricapo         	Senza quel copricapo, la testa di Quirrell sembrava stranamente piccola.
gesso             	gesso             	Era bianco come il gesso, con occhi rossi che mandavano bagliori e per narici due fessure, come un serpente.
rinvigorito       	rinvigorire       	Nelle scorse settimane il sangue di unicorno mi ha rinvigorito... Hai visto quando il fedele Quirrell l’ha bevuto per me, nella Foresta... Una volta che mi impossesserò dell’Elisir di Lunga Vita, potrò crearmi un corpo tutto mio... E ora, veniamo a noi... Perché non mi dai la Pietra che hai in tasca?»
fedele            	fedele            	Nelle scorse settimane il sangue di unicorno mi ha rinvigorito... Hai visto quando il fedele Quirrell l’ha bevuto per me, nella Foresta... Una volta che mi impossesserò dell’Elisir di Lunga Vita, potrò crearmi un corpo tutto mio... E ora, veniamo a noi... Perché non mi dai la Pietra che hai in tasca?»
implorando        	implorare         	Loro sono morti implorando la mia clemenza...» «BUGIARDO!» gridò Harry d’un tratto.
clemenza          	clemenza          	Loro sono morti implorando la mia clemenza...» «BUGIARDO!» gridò Harry d’un tratto.
bugiardo          	bugiardo          	Loro sono morti implorando la mia clemenza...» «BUGIARDO!» gridò Harry d’un tratto.
commovente        	commovente        	«Ma che cosa commovente...» sibilò.
apprezzo          	apprezzare        	«Io apprezzo sempre molto il coraggio... Sì, ragazzo, i tuoi genitori erano coraggiosi... Per primo ho ucciso tuo padre:
intrepida         	intrepido         	lui aveva ingaggiato un’intrepida lotta... Tua madre, invece, non era necessario che morisse... stava solo cercando di proteggerti... E ora dammi quella Pietra, se non vuoi che sia morta invano».
diminuì           	diminuire         	Il dolore alla testa diminuì.
vesciche          	vescica           	Si guardava le dita, che si stavano riempiendo di vesciche a vista d’occhio.
disteso           	distendere        	PRENDILO!» gridò di nuovo Voldemort con voce stridula, e Quirrell fece un balzo in avanti mandando Harry lungo disteso per terra e afferrandogli il collo con entrambe le mani.
palme             	palma             	«Padrone, non riesco a trattenerlo... le mie mani... le mie mani!» E Quirrell, pur continuando a tenere inchiodato il ragazzo a terra con le ginocchia, mollò la presa sul suo collo per contemplarsi sconcertato le palme delle mani.
bruciacchiate     	bruciacchiare     	erano bruciacchiate, con la carne viva, rossa e lucente.
eseguire          	eseguire          	Quirrell alzò la mano per eseguire una maledizione mortale, ma Harry, istintivamente, gli afferrò la faccia... «Aaaaaaahhhhhh!» Quirrell gli rotolò via di dosso, il volto che cominciava a riempirsi di vesciche.
istintivamente    	istintivamente    	Quirrell alzò la mano per eseguire una maledizione mortale, ma Harry, istintivamente, gli afferrò la faccia... «Aaaaaaahhhhhh!» Quirrell gli rotolò via di dosso, il volto che cominciava a riempirsi di vesciche.
strida            	strido            	ormai non ci vedeva più, udiva soltanto le terribili strida di Quirrell, Voldemort che gridava «UCCIDILO!
bruma             	bruma             	Lentamente, come attraverso una bruma, mise a fuoco il volto gaio di Albus Silente.
figliolo          	figliolo          	Bisogna far presto, signore...» «Calmati, figliolo, sei rimasto un po’ indietro con gli avvenimenti» disse Silente.
adagiato          	adagiare          	Era adagiato in un letto dalle candide lenzuola di lino e sul comodino accanto sembrava fosse stato trasferito un intero negozio di dolciumi.
lino              	lino              	Era adagiato in un letto dalle candide lenzuola di lino e sul comodino accanto sembrava fosse stato trasferito un intero negozio di dolciumi.
comodino          	comodino          	Era adagiato in un letto dalle candide lenzuola di lino e sul comodino accanto sembrava fosse stato trasferito un intero negozio di dolciumi.
dolciumi          	dolciumi          	Era adagiato in un letto dalle candide lenzuola di lino e sul comodino accanto sembrava fosse stato trasferito un intero negozio di dolciumi.
ammiratori        	ammiratore        	«Quelli sono pegni di affetto dei tuoi amici e ammiratori» disse Silente illuminandosi in volto.
illuminandosi     	illuminarsi       	«Quelli sono pegni di affetto dei tuoi amici e ammiratori» disse Silente illuminandosi in volto.
corrente          	corrente          	«Quel che è accaduto giù nei sotterranei tra te e il professor Quirrell è segretissimo, quindi naturalmente tutta la scuola ne è al corrente.
igienica          	igienico          	Ma Madame Pomfrey l’ha giudicata una cosa poco igienica e quindi l’ha confiscata».
confiscata        	confiscare        	Ma Madame Pomfrey l’ha giudicata una cosa poco igienica e quindi l’ha confiscata».
deliziato         	deliziare         	«Ma il suo amico, Nicolas Flamel...» «Ah, sai di Nicolas?» disse Silente con un tono di voce che sembrava deliziato.
sufficiente       	sufficiente       	«Ma questo significa che lui e sua moglie moriranno, non è così?» «Dispongono di una quantità sufficiente di Elisir per sistemare i loro affari, dopodiché... ebbene sì, moriranno».
ricchezza         	ricchezza         	tutta la ricchezza e tutta la vita che uno può volere... Sono le due cose che la maggior parte degli esseri umani desidera più di ogni altra... Ma il guaio è che le persone hanno una particolare abilità nello scegliere proprio le cose peggiori per loro».
abilità           	abilità           	tutta la ricchezza e tutta la vita che uno può volere... Sono le due cose che la maggior parte degli esseri umani desidera più di ogni altra... Ma il guaio è che le persone hanno una particolare abilità nello scegliere proprio le cose peggiori per loro».
compassione       	compassione       	la stessa poca compassione che ha per i nemici, ce l’ha per i suoi seguaci.
ritardato         	ritardare         	Comunque, Harry, se tu hai ritardato il suo ritorno al potere, la prossima volta ci vorrà semplicemente qualcun altro che sia in grado di sostenere quella che sembra una battaglia persa... E se il suo desiderio di potere continuerà a venire ostacolato, forse non lo riconquisterà mai più».
riconquisterà     	riconquistare     	Comunque, Harry, se tu hai ritardato il suo ritorno al potere, la prossima volta ci vorrà semplicemente qualcun altro che sia in grado di sostenere quella che sembra una battaglia persa... E se il suo desiderio di potere continuerà a venire ostacolato, forse non lo riconquisterà mai più».
concepire         	concepire         	Ora, se c’è una cosa che Voldemort non riesce a concepire, è l’amore.
amore             	amore             	Ora, se c’è una cosa che Voldemort non riesce a concepire, è l’amore.
brama             	brama             	Quirrell, che avendo ceduto l’anima a Voldemort era pieno di odio, di brama e di ambizione, non poteva toccarti per questa ragione.
ambizione         	ambizione         	Quirrell, che avendo ceduto l’anima a Voldemort era pieno di odio, di brama e di ambizione, non poteva toccarti per questa ragione.
marchio           	marchio           	Per lui era una tortura toccare una persona segnata da un marchio di tanta bontà».
bontà             	bontà             	Per lui era una tortura toccare una persona segnata da un marchio di tanta bontà».
bocconcino        	bocconcino        	«Sono cose utili... Quando era qui, tuo padre lo usava soprattutto per sgattaiolare in cucina e farsi fuori qualche buon bocconcino».
sognante          	sognante          	» «Già...» fece Silente in tono sognante.
funzioni          	funzione          	«Strano come funzioni la mente delle persone, non trovi?
concetto          	concetto          	Dopodiché, avrebbe potuto tranquillamente tornare a odiarne la memoria...» Harry cercò di capire quel difficile concetto, ma poiché gli faceva dolere la testa, ci rinunciò.
rimandato         	rimandare         	Altrimenti lo Specchio gli avrebbe rimandato l’immagine di uno che fabbrica oro o che beve Elisir di Lunga Vita.
propongo          	proporre          	Propongo che tu cominci ad assaggiare qualcuno di questi dolci.
vomito            	vomito            	Da giovane ho avuto la sfortuna di trovarne una al gusto di vomito e da allora devo dire che per me hanno perso ogni attrattiva...
attrattiva        	attrattiva        	Da giovane ho avuto la sfortuna di trovarne una al gusto di vomito e da allora devo dire che per me hanno perso ogni attrattiva...
ambrato           	ambrato           	Ma se prendo quella che sembra una bella caramella mou, non dovrei correre rischi... Tu che dici?» Sorrise e si cacciò in bocca una gelatina dal bel colore ambrato.
masticata         	masticare         	Appena l’ebbe masticata, esclamò:
cerume            	cerume            	Cerume!
infermiera        	infermiera        	Madame Pomfrey, la capo infermiera, era una donna simpatica ma inflessibile.
inflessibile      	inflessibile      	Madame Pomfrey, la capo infermiera, era una donna simpatica ma inflessibile.
riposo            	riposo            	Hai bisogno di riposo».
appassionante     	appassionante     	«Oh, Harry, eravamo sicuri che tu... Silente era talmente preoccupato...» «Tutta la scuola non parla d’altro» disse Ron, «ma che cosa è successo veramente?» Era uno dei rari casi in cui la storia vera è ancor più strana e appassionante dei pettegolezzi incontrollati.
pettegolezzi      	pettegolezzo      	«Oh, Harry, eravamo sicuri che tu... Silente era talmente preoccupato...» «Tutta la scuola non parla d’altro» disse Ron, «ma che cosa è successo veramente?» Era uno dei rari casi in cui la storia vera è ancor più strana e appassionante dei pettegolezzi incontrollati.
incontrollati     	incontrollato     	«Oh, Harry, eravamo sicuri che tu... Silente era talmente preoccupato...» «Tutta la scuola non parla d’altro» disse Ron, «ma che cosa è successo veramente?» Era uno dei rari casi in cui la storia vera è ancor più strana e appassionante dei pettegolezzi incontrollati.
follia            	follia            	«Io l’ho sempre detto che è un po’ svitato» disse Ron, che pareva molto colpito dal livello di follia del suo eroe.
