litigio         	litigio        	Non era la prima volta che scoppiava un litigio durante la colazione, al numero 4 di Privet Drive.
impigliato      	impigliare     	«Ma mi hai preso per scemo?» ringhiò zio Vernon con un pezzetto di uovo fritto impigliato nei baffoni.
replicare       	replicare      	Harry tentò di replicare, ma le sue parole furono sopraffatte da un rutto lungo e sonoro di suo cugino Dudley.
sopraffatte     	sopraffatto    	Harry tentò di replicare, ma le sue parole furono sopraffatte da un rutto lungo e sonoro di suo cugino Dudley.
rutto           	rutto          	Harry tentò di replicare, ma le sue parole furono sopraffatte da un rutto lungo e sonoro di suo cugino Dudley.
mensa           	mensa          	«Devi mangiare, finché sei a casa... La mensa di quella scuola non mi convince affatto...» «Sciocchezze, Petunia.
debordava       	debordare      	«Dudley mangia abbastanza; non è vero, figliolo?» Dudley, così grasso che il sederone gli debordava da entrambi i lati della sedia, si voltò con un ghigno verso Harry.
tempie          	tempia         	Quelle parole ebbero un effetto incredibile sul resto della famiglia: Dudley boccheggiò e cadde dalla sedia con un tonfo che fece tremare tutta la cucina; la signora Dursley lanciò un gridolino e si mise le mani sulla bocca; il signor Dursley balzò in piedi con le vene delle tempie che gli pulsavano.
spruzzando      	spruzzare      	«COSA TI AVEVO DETTO?» tuonò suo zio spruzzando saliva su tutta la tavola.
tollero         	tollerare      	«TI HO AVVERTITO! NON TOLLERO CHE SI NOMINI LA TUA ANORMALITÀ SOTTO QUESTO TETTO!»
anormalità      	anormalità     	«TI HO AVVERTITO! NON TOLLERO CHE SI NOMINI LA TUA ANORMALITÀ SOTTO QUESTO TETTO!»
rinoceronte     	rinoceronte    	«D’accordo» disse Harry, «d’accordo...» Zio Vernon tornò a sedersi, ansimando come un rinoceronte e guardando Harry di traverso con i suoi occhietti penetranti.
scontentezza    	scontentezza   	Ma se i Dursley non erano contenti di riaverlo a casa per le vacanze, la loro scontentezza era niente in confronto a quel che provava Harry.
costantemente   	costantemente  	Hogwarts gli mancava così tanto che era come avere costantemente mal di stomaco.
mal             	mal            	Hogwarts gli mancava così tanto che era come avere costantemente mal di stomaco.
dormite         	dormita        	Gli mancava il castello con i suoi passaggi segreti e i suoi fantasmi, le lezioni (anche se magari non quelle di Piton, il professore di Pozioni), la posta consegnata via gufo, i banchetti nella Sala Grande, le dormite nel suo letto a baldacchino negli alloggi della torre, le visitine al guardacaccia Hagrid nella capanna vicino alla Foresta Proibita, e soprattutto il Quidditch, lo sport più popolare nel mondo dei maghi (come porte sei anelli su altrettanti pali, quattro palle volanti e quattordici giocatori a cavallo di un manico di scopa).
popolare        	popolare       	Gli mancava il castello con i suoi passaggi segreti e i suoi fantasmi, le lezioni (anche se magari non quelle di Piton, il professore di Pozioni), la posta consegnata via gufo, i banchetti nella Sala Grande, le dormite nel suo letto a baldacchino negli alloggi della torre, le visitine al guardacaccia Hagrid nella capanna vicino alla Foresta Proibita, e soprattutto il Quidditch, lo sport più popolare nel mondo dei maghi (come porte sei anelli su altrettanti pali, quattro palle volanti e quattordici giocatori a cavallo di un manico di scopa).
quattordici     	quattordici    	Gli mancava il castello con i suoi passaggi segreti e i suoi fantasmi, le lezioni (anche se magari non quelle di Piton, il professore di Pozioni), la posta consegnata via gufo, i banchetti nella Sala Grande, le dormite nel suo letto a baldacchino negli alloggi della torre, le visitine al guardacaccia Hagrid nella capanna vicino alla Foresta Proibita, e soprattutto il Quidditch, lo sport più popolare nel mondo dei maghi (come porte sei anelli su altrettanti pali, quattro palle volanti e quattordici giocatori a cavallo di un manico di scopa).
superba         	superbo        	Tutti i libri di magia, la bacchetta, gli abiti, il calderone e la sua superba scopa Nimbus Duemila erano stati chiusi a doppia mandata da zio Vernon nel ripostiglio del sottoscala nel momento stesso in cui Harry era tornato a casa.
lucchetto       	lucchetto      	Zio Vernon aveva addirittura messo un lucchetto alla gabbia di Edvige, la civetta di Harry, per impedirle di portare messaggi a chiunque facesse parte del mondo dei maghi.
cavallina       	cavallina      	Zio Vernon era grasso e senza collo, con enormi baffi neri; zia Petunia aveva una faccia cavallina ed era tutta pelle e ossa; Dudley era biondo e roseo come un porcello.
porcello        	porcello       	Zio Vernon era grasso e senza collo, con enormi baffi neri; zia Petunia aveva una faccia cavallina ed era tutta pelle e ossa; Dudley era biondo e roseo come un porcello.
disordine       	disordine      	Harry, al contrario, era piccolo e magro, con occhi verde brillante e capelli nerissimi, sempre in disordine.
passato         	passato        	Era quella cicatrice a rendere Harry così fuori dall’ordinario, anche fra i maghi: era l’unico segno del suo misterioso passato, della ragione per cui, undici anni prima, era stato deposto davanti alla porta di casa Dursley.
scampato        	scampare       	All’età di un anno Harry era scampato a una maledizione lanciata dal più grande Mago Oscuro di tutti i tempi, Voldemort, un nome che la maggior parte delle streghe e dei maghi non osava ancora pronunciare.
sferrato        	sferrare       	L’attacco sferrato da Voldemort era costato la vita ai genitori di Harry, ma lui si era salvato, con la sua cicatrice a forma di saetta, e per qualche ragione – nessuno sapeva perché – i poteri di Voldemort erano andati distrutti nel momento stesso in cui non era riuscito a uccidere il ragazzo.
defunta         	defunto        	Harry quindi era stato allevato dalla sorella della defunta madre e da suo marito.
