frequent-polish-2501,uczciwie,"
<div class=""trans"">honestly, fairly</div>
adv
<br>
Zachował się wobec mnie uczciwie.
<div class=""trans"">-He acted fairly towards me.</div>
"
frequent-polish-2502,gacie,"
<div class=""trans"">pants (coll)</div>
fpl
<br>
Uspokój się, bo zrobisz w gacie.
<div class=""trans"">-Calm down or you'll shoot in your pants.</div>
"
frequent-polish-2503,szanować (się),"
<div class=""trans"">respect [szanować, uszanować]</div>
vif2
<br>
Trzeba szanować starszych.
<div class=""trans"">-You have to respect elderly people.</div>
"
frequent-polish-2504,powrócić,"
<div class=""trans"">return [powracać, powrócić]</div>
vpf
<br>
Z tej podróży miał już nie powrócić.
<div class=""trans"">-He was never to return from the trip.</div>
"
frequent-polish-2505,niedźwiedź,"
<div class=""trans"">bear</div>
m
<br>
Stary niedźwiedź mocno śpi
<div class=""trans"">-The old bear is fast asleep.</div>
"
frequent-polish-2506,świecić (się),"
<div class=""trans"">be lit, shine, glow [świecić, zaświecić]</div>
vif2
<br>
Ta lampa świeci się słabym, czerwonym światłem.
<div class=""trans"">-The lamp glows a dim, red light.</div>
"
frequent-polish-2507,zorganizować,"
<div class=""trans"">organize [organizować, zorganizować]</div>
vpf
<br>
John chce zorganizować spotkanie.
<div class=""trans"">-John wants to organize a meeting.</div>
"
frequent-polish-2508,znajomo,"
<div class=""trans"">familiar</div>
adv
<br>
Wyglądają znajomo.
<div class=""trans"">-They look familiar.</div>
"
frequent-polish-2509,staruszka,"
<div class=""trans"">old lady</div>
f
<br>
Staruszka karmiła gołębie.
<div class=""trans"">-The old lady was feeding the pigeons.</div>
"
frequent-polish-2510,moda,"
<div class=""trans"">fashion, trend</div>
f
<br>
Ta moda miała już swoje pięć minut.
<div class=""trans"">-This fashion has had its day.</div>
"
frequent-polish-2511,podział,"
<div class=""trans"">division; distribution</div>
m; m
<br>
Szczegółowy podział zostaje przyjęty przez Radę Zarządzającą.
<div class=""trans"">-The detailed distribution is adopted by the Governing Board.</div>
"
frequent-polish-2512,rodzić (się),"
<div class=""trans"">give birth; be born [rodzić, urodzić]</div>
vif; vifr
<br>
Tak rodzi się rewolucja!
<div class=""trans"">-This is how the revolution is born!</div>
"
frequent-polish-2513,prasa,"
<div class=""trans"">press</div>
f
<br>
Prasa donosi o nowym modelu prasy pneumatycznej.
<div class=""trans"">-The press is informing about a new model of a pneumatic press.</div>
"
frequent-polish-2514,różnić (się),"
<div class=""trans"">divide, be different [różnić, poróżnić]</div>
vif
<br>
Nasze poglądy się różnią.
<div class=""trans"">-Our views are different.</div>
"
frequent-polish-2515,ciepły,"
<div class=""trans"">warm</div>
adj
<br>
To był ciepły dzień.
<div class=""trans"">-It was a warm day.</div>
"
frequent-polish-2516,prokurator,"
<div class=""trans"">prosecutor, attorney</div>
m
<br>
Podejrzewałem, że angielski prokurator to kłamca.
<div class=""trans"">-I always suspected the British prosecutor was a liar.</div>
"
frequent-polish-2517,wzgórze,"
<div class=""trans"">hill</div>
n
<br>
Wszedłem na wzgórze.
<div class=""trans"">-I went up the hill.</div>
"
frequent-polish-2518,wynająć,"
<div class=""trans"">rent, lend [wynajmować, wynająć]</div>
vpf
<br>
Chciałbym wynająć najtańszy samochód na tydzień.
<div class=""trans"">-I'd like to rent your cheapest car for a week.</div>
"
frequent-polish-2519,pismo,"
<div class=""trans"">handwriting; magazine; letter</div>
n; n; n
<br>
Ona ma piękne pismo.
<div class=""trans"">-She has beautiful handwriting.</div>
"
frequent-polish-2520,zwycięzca,"
<div class=""trans"">winner</div>
m
<br>
A oto i John, zwycięzca wyścigu.
<div class=""trans"">-Here comes John, the winner of the race.</div>
"
frequent-polish-2521,przeciąg,"
<div class=""trans"">draft</div>
m
<br>
Zamknij okno, bo jest straszny przeciąg i się przeziębię.
<div class=""trans"">-Close the window because there is a draft and I’ll catch a cold.</div>
"
frequent-polish-2522,widywać (się),"
<div class=""trans"">see, meet [widywać, —]</div>
vif2
<br>
Powinnam starać się częściej ją widywać.
<div class=""trans"">-I should've tried to see her more.</div>
"
frequent-polish-2523,poszukiwać,"
<div class=""trans"">look for [poszukiwać, —]</div>
vif
<br>
Poszukuję noclegu w Warszawie.
<div class=""trans"">-I’m looking for accommodation in Warsaw.</div>
"
frequent-polish-2524,patrol,"
<div class=""trans"">patrol</div>
m
<br>
Następny patrol będzie za niecałe 15 minut.
<div class=""trans"">-The next patrol is in less than 15 minutes.</div>
"
frequent-polish-2525,budzić (się),"
<div class=""trans"">wake up [budzić, obudzić]</div>
vif2
<br>
Obudziłem się o 8 rano.
<div class=""trans"">-I woke up at 8 am.</div>
"
frequent-polish-2526,namierzyć,"
<div class=""trans"">localize, track [namierzać, namierzyć]</div>
vpf
<br>
Gdy znowu zadzwoni, spróbujemy namierzyć rozmówcę.
<div class=""trans"">-If he calls again we can try to track the call.</div>
"
