novembre        	novembre        	All’inizio di novembre cominciò a fare molto freddo.
brina           	brina           	Tutte le mattine il terreno era coperto di brina.
scongelare      	scongelare      	Dalle finestre dei piani superiori si poteva scorgere Hagrid intento a scongelare le scope nel campo di Quidditch, infagottato in un lungo pastrano di fustagno, guanti di pelo di coniglio ed enormi stivali foderati di castoro.
fustagno        	fustagno        	Dalle finestre dei piani superiori si poteva scorgere Hagrid intento a scongelare le scope nel campo di Quidditch, infagottato in un lungo pastrano di fustagno, guanti di pelo di coniglio ed enormi stivali foderati di castoro.
castoro         	castoro         	Dalle finestre dei piani superiori si poteva scorgere Hagrid intento a scongelare le scope nel campo di Quidditch, infagottato in un lungo pastrano di fustagno, guanti di pelo di coniglio ed enormi stivali foderati di castoro.
stagione        	stagione        	La stagione del Quidditch era iniziata.
classifica      	classifica      	Se avessero vinto, i Grifondoro sarebbero passati al secondo posto in classifica nel Campionato delle Case.
arma            	arma            	Quasi nessuno aveva visto Harry giocare, perché Wood aveva deciso che, essendo l’arma segreta della squadra, non si doveva sapere della sua presenza in campo.
trapelata       	trapelare       	Ma non si sa come, la notizia che avrebbe giocato come Cercatore era trapelata e lui non sapeva che cosa fosse peggio:
formidabile     	formidabile     	sentirsi dire che sarebbe stato certamente formidabile o che qualcuno, a terra, avrebbe dovuto correre su e giù tenendogli sotto un materasso.
imponeva        	imporre         	Senza di lei, non avrebbe saputo come fare con i compiti, visto che Wood imponeva alla squadra allenamenti frequenti e con breve preavviso.
frequenti       	frequente       	Senza di lei, non avrebbe saputo come fare con i compiti, visto che Wood imponeva alla squadra allenamenti frequenti e con breve preavviso.
preavviso       	preavviso       	Senza di lei, non avrebbe saputo come fare con i compiti, visto che Wood imponeva alla squadra allenamenti frequenti e con breve preavviso.
settecento      	settecento      	Harry imparò così che esistevano settecento modi di commettere un fallo a Quidditch e che durante una partita di Coppa del Mondo, nel 1473, si erano verificati tutti;
arbitri         	arbitro         	che, sebbene i giocatori morissero di rado durante una partita di Quidditch, si aveva notizia di arbitri svaniti nel nulla e ricomparsi nel deserto del Sahara a distanza di mesi.
Sahara          	Sahara          	che, sebbene i giocatori morissero di rado durante una partita di Quidditch, si aveva notizia di arbitri svaniti nel nulla e ricomparsi nel deserto del Sahara a distanza di mesi.
osservanza      	osservanza      	Da quando Harry e Ron l’avevano salvata dal troll, Hermione era diventata un po’ meno rigida per quanto riguardava l’osservanza delle regole, il che la rendeva molto più simpatica.
vigilia         	vigilia         	La vigilia della prima partita di Harry, si trovavano tutti e tre fuori nel cortile gelido, durante l’intervallo, e lei aveva fatto apparire per incanto un fuoco di un azzurro splendente, che si poteva trasportare tenendolo in un vasetto della marmellata.
